feature,reference_category,category_count,category_proportion,missing_count,missing_rate
NAME_CONTRACT_TYPE,Cash loans,194675,0.9043840618423559,0,0.0
NAME_CONTRACT_TYPE,Revolving loans,20582,0.09561593815764412,0,0.0
CODE_GENDER,F,141622,0.6579205322010434,0,0.0
CODE_GENDER,M,73633,0.3420701765796234,0,0.0
CODE_GENDER,XNA,2,9.291219333169189e-06,0,0.0
FLAG_OWN_CAR,N,142086,0.6600760950863387,0,0.0
FLAG_OWN_CAR,Y,73171,0.33992390491366137,0,0.0
FLAG_OWN_REALTY,N,65845,0.3058901684962626,0,0.0
FLAG_OWN_REALTY,Y,149412,0.6941098315037374,0,0.0
NAME_TYPE_SUITE,Children,2327,0.010810333694142351,901,0.00418569430959272
NAME_TYPE_SUITE,Family,28001,0.13008171627403523,901,0.00418569430959272
NAME_TYPE_SUITE,Group of people,198,0.0009198307139837497,901,0.00418569430959272
NAME_TYPE_SUITE,Other_A,614,0.002852404335282941,901,0.00418569430959272
NAME_TYPE_SUITE,Other_B,1248,0.005797720863897573,901,0.00418569430959272
NAME_TYPE_SUITE,"Spouse, partner",7879,0.03660275856302002,901,0.00418569430959272
NAME_TYPE_SUITE,Unaccompanied,174089,0.8087495412460455,901,0.00418569430959272
NAME_INCOME_TYPE,Businessman,9,4.181048699926135e-05,0,0.0
NAME_INCOME_TYPE,Commercial associate,50106,0.2327729179538877,0,0.0
NAME_INCOME_TYPE,Maternity leave,3,1.3936828999753782e-05,0,0.0
NAME_INCOME_TYPE,Pensioner,38748,0.18000808336081986,0,0.0
NAME_INCOME_TYPE,State servant,15382,0.07145876789140423,0,0.0
NAME_INCOME_TYPE,Student,9,4.181048699926135e-05,0,0.0
NAME_INCOME_TYPE,Unemployed,16,7.432975466535351e-05,0,0.0
NAME_INCOME_TYPE,Working,110984,0.5155883432362246,0,0.0
NAME_EDUCATION_TYPE,Academic degree,104,0.0004831434053247978,0,0.0
NAME_EDUCATION_TYPE,Higher education,52254,0.2427516875177114,0,0.0
NAME_EDUCATION_TYPE,Incomplete higher,7251,0.03368531569240489,0,0.0
NAME_EDUCATION_TYPE,Lower secondary,2655,0.012334093664782098,0,0.0
NAME_EDUCATION_TYPE,Secondary / secondary special,152993,0.7107457597197768,0,0.0
NAME_FAMILY_STATUS,Civil marriage,20844,0.09683308789028928,0,0.0
NAME_FAMILY_STATUS,Married,137457,0.6385715679397186,0,0.0
NAME_FAMILY_STATUS,Separated,13854,0.06436027632086297,0,0.0
NAME_FAMILY_STATUS,Single / not married,31846,0.14794408544205298,0,0.0
NAME_FAMILY_STATUS,Unknown,1,4.645609666584594e-06,0,0.0
NAME_FAMILY_STATUS,Widow,11255,0.052286336797409606,0,0.0
NAME_HOUSING_TYPE,Co-op apartment,791,0.003674677246268414,0,0.0
NAME_HOUSING_TYPE,House / apartment,191159,0.8880500982546444,0,0.0
NAME_HOUSING_TYPE,Municipal apartment,7803,0.03624969222835959,0,0.0
NAME_HOUSING_TYPE,Office apartment,1817,0.008441072764184208,0,0.0
NAME_HOUSING_TYPE,Rented apartment,3357,0.015595311650724484,0,0.0
NAME_HOUSING_TYPE,With parents,10330,0.047989147855818856,0,0.0
OCCUPATION_TYPE,Accountants,6842,0.03178526133877179,67480,0.3134857403011284
OCCUPATION_TYPE,Cleaning staff,3310,0.015376967996395006,67480,0.3134857403011284
OCCUPATION_TYPE,Cooking staff,4178,0.019409357186990436,67480,0.3134857403011284
OCCUPATION_TYPE,Core staff,19345,0.08986931900007898,67480,0.3134857403011284
OCCUPATION_TYPE,Drivers,13088,0.06080173931625917,67480,0.3134857403011284
OCCUPATION_TYPE,HR staff,373,0.0017328124056360536,67480,0.3134857403011284
OCCUPATION_TYPE,High skill tech staff,7977,0.037058028310345305,67480,0.3134857403011284
OCCUPATION_TYPE,IT staff,361,0.0016770650896370386,67480,0.3134857403011284
OCCUPATION_TYPE,Laborers,38591,0.17927872264316608,67480,0.3134857403011284
OCCUPATION_TYPE,Low-skill Laborers,1480,0.006875502306545199,67480,0.3134857403011284
OCCUPATION_TYPE,Managers,14985,0.06961446085377014,67480,0.3134857403011284
OCCUPATION_TYPE,Medicine staff,6050,0.028105938482836795,67480,0.3134857403011284
OCCUPATION_TYPE,Private service staff,1851,0.008599023492848084,67480,0.3134857403011284
OCCUPATION_TYPE,Realty agents,524,0.0024342994652903275,67480,0.3134857403011284
OCCUPATION_TYPE,Sales staff,22285,0.10352741141983768,67480,0.3134857403011284
OCCUPATION_TYPE,Secretaries,915,0.004250732844924904,67480,0.3134857403011284
OCCUPATION_TYPE,Security staff,4698,0.021825074213614425,67480,0.3134857403011284
OCCUPATION_TYPE,Waiters/barmen staff,924,0.0042925433319241655,67480,0.3134857403011284
WEEKDAY_APPR_PROCESS_START,FRIDAY,35320,0.16408293342376787,0,0.0
WEEKDAY_APPR_PROCESS_START,MONDAY,35569,0.16523969023074744,0,0.0
WEEKDAY_APPR_PROCESS_START,SATURDAY,23669,0.10995693519839075,0,0.0
WEEKDAY_APPR_PROCESS_START,SUNDAY,11322,0.05259759264507077,0,0.0
WEEKDAY_APPR_PROCESS_START,THURSDAY,35322,0.16409222464310103,0,0.0
WEEKDAY_APPR_PROCESS_START,TUESDAY,37826,0.17572483124822885,0,0.0
WEEKDAY_APPR_PROCESS_START,WEDNESDAY,36229,0.16830579261069326,0,0.0
ORGANIZATION_TYPE,Advertising,289,0.0013425811936429478,0,0.0
ORGANIZATION_TYPE,Agriculture,1730,0.008036904723191348,0,0.0
ORGANIZATION_TYPE,Bank,1735,0.008060132771524271,0,0.0
ORGANIZATION_TYPE,Business Entity Type 1,4214,0.01957659913498748,0,0.0
ORGANIZATION_TYPE,Business Entity Type 2,7374,0.034256725681394797,0,0.0
ORGANIZATION_TYPE,Business Entity Type 3,47582,0.22104739915542818,0,0.0
ORGANIZATION_TYPE,Cleaning,195,0.0009058938849839959,0,0.0
ORGANIZATION_TYPE,Construction,4704,0.02185294787161393,0,0.0
ORGANIZATION_TYPE,Culture,269,0.001249669000311256,0,0.0
ORGANIZATION_TYPE,Electricity,674,0.0031311409152780167,0,0.0
ORGANIZATION_TYPE,Emergency,395,0.0018350158183009146,0,0.0
ORGANIZATION_TYPE,Government,7324,0.03402444519806557,0,0.0
ORGANIZATION_TYPE,Hotel,686,0.0031868882312770315,0,0.0
ORGANIZATION_TYPE,Housing,2055,0.009546727864831342,0,0.0
ORGANIZATION_TYPE,Industry: type 1,737,0.003423814324272846,0,0.0
ORGANIZATION_TYPE,Industry: type 10,75,0.0003484207249938446,0,0.0
ORGANIZATION_TYPE,Industry: type 11,1888,0.008770911050511714,0,0.0
ORGANIZATION_TYPE,Industry: type 12,258,0.0011985672939788252,0,0.0
ORGANIZATION_TYPE,Industry: type 13,46,0.00021369804466289135,0,0.0
ORGANIZATION_TYPE,Industry: type 2,326,0.0015144687513065776,0,0.0
ORGANIZATION_TYPE,Industry: type 3,2292,0.01064773735581189,0,0.0
ORGANIZATION_TYPE,Industry: type 4,633,0.002940670918948048,0,0.0
ORGANIZATION_TYPE,Industry: type 5,393,0.0018257245989677456,0,0.0
ORGANIZATION_TYPE,Industry: type 6,77,0.00035771194432701375,0,0.0
ORGANIZATION_TYPE,Industry: type 7,903,0.004194985528925888,0,0.0
ORGANIZATION_TYPE,Industry: type 8,17,7.897536433193811e-05,0,0.0
ORGANIZATION_TYPE,Industry: type 9,2396,0.011130880761136688,0,0.0
ORGANIZATION_TYPE,Insurance,415,0.0019279280116326065,0,0.0
ORGANIZATION_TYPE,Kindergarten,4891,0.02272167687926525,0,0.0
ORGANIZATION_TYPE,Legal Services,218,0.0010127429073154416,0,0.0
ORGANIZATION_TYPE,Medicine,7917,0.03677929173035023,0,0.0
ORGANIZATION_TYPE,Military,1857,0.008626897150847591,0,0.0
ORGANIZATION_TYPE,Mobile,211,0.0009802236396493494,0,0.0
ORGANIZATION_TYPE,Other,11662,0.054177099931709535,0,0.0
ORGANIZATION_TYPE,Police,1608,0.007470140343868028,0,0.0
ORGANIZATION_TYPE,Postal,1520,0.007061326693208583,0,0.0
ORGANIZATION_TYPE,Realtor,279,0.0012961250969771019,0,0.0
ORGANIZATION_TYPE,Religion,59,0.00027409097032849106,0,0.0
ORGANIZATION_TYPE,Restaurant,1285,0.005969608421561204,0,0.0
ORGANIZATION_TYPE,School,6296,0.029248758460816607,0,0.0
ORGANIZATION_TYPE,Security,2302,0.010694193452477735,0,0.0
ORGANIZATION_TYPE,Security Ministries,1403,0.006517790362218186,0,0.0
ORGANIZATION_TYPE,Self-employed,26681,0.12394951151414356,0,0.0
ORGANIZATION_TYPE,Services,1089,0.005059068926910623,0,0.0
ORGANIZATION_TYPE,Telecom,396,0.0018396614279674994,0,0.0
ORGANIZATION_TYPE,Trade: type 1,237,0.0011010094909805488,0,0.0
ORGANIZATION_TYPE,Trade: type 2,1338,0.006215825733890187,0,0.0
ORGANIZATION_TYPE,Trade: type 3,2425,0.011265603441467641,0,0.0
ORGANIZATION_TYPE,Trade: type 4,45,0.00020905243499630673,0,0.0
ORGANIZATION_TYPE,Trade: type 5,34,0.00015795072866387622,0,0.0
ORGANIZATION_TYPE,Trade: type 6,425,0.0019743841082984527,0,0.0
ORGANIZATION_TYPE,Trade: type 7,5450,0.025318572682886037,0,0.0
ORGANIZATION_TYPE,Transport: type 1,145,0.0006736134016547662,0,0.0
ORGANIZATION_TYPE,Transport: type 2,1529,0.007103137180207845,0,0.0
ORGANIZATION_TYPE,Transport: type 3,851,0.003953413826263489,0,0.0
ORGANIZATION_TYPE,Transport: type 4,3749,0.017416390640025644,0,0.0
ORGANIZATION_TYPE,University,917,0.004260024064258073,0,0.0
ORGANIZATION_TYPE,XNA,38756,0.18004524823815254,0,0.0
FONDKAPREMONT_MODE,not specified,3963,0.018410551108674747,147099,0.6833645363449272
FONDKAPREMONT_MODE,org spec account,3928,0.018247954770344285,147099,0.6833645363449272
FONDKAPREMONT_MODE,reg oper account,51785,0.2405728965840832,147099,0.6833645363449272
FONDKAPREMONT_MODE,reg oper spec account,8482,0.03940406119197053,147099,0.6833645363449272
HOUSETYPE_MODE,block of flats,105515,0.49018150396967347,107834,0.5009546727864831
HOUSETYPE_MODE,specific housing,1041,0.004836079662914563,107834,0.5009546727864831
HOUSETYPE_MODE,terraced house,867,0.0040277435809288435,107834,0.5009546727864831
WALLSMATERIAL_MODE,Block,6529,0.030331185513130816,109329,0.507899859238027
WALLSMATERIAL_MODE,Mixed,1574,0.007312189615204152,109329,0.507899859238027
WALLSMATERIAL_MODE,Monolithic,1249,0.005802366473564158,109329,0.507899859238027
WALLSMATERIAL_MODE,Others,1138,0.0052867038005732685,109329,0.507899859238027
WALLSMATERIAL_MODE,Panel,46298,0.21508243634353355,109329,0.507899859238027
WALLSMATERIAL_MODE,"Stone, brick",45408,0.21094784374027326,109329,0.507899859238027
WALLSMATERIAL_MODE,Wooden,3732,0.017337415275693706,109329,0.507899859238027
EMERGENCYSTATE_MODE,No,111665,0.5187520034191687,101963,0.473680298433965
EMERGENCYSTATE_MODE,Yes,1629,0.007567698146866304,101963,0.473680298433965
