scenario_id,segment_family_id,segment_id,metric_family,evidence_status,row_count,default_count,nondefault_count
SIM-M06,SG-02,SG-02:0,DISCRIMINATION_CALIBRATION,INSUFFICIENT_DATA,186,36.0,150.0
SIM-M06,SG-02,SG-02:0,THRESHOLD_ERROR_RATE,INSUFFICIENT_DATA,186,36.0,150.0
SIM-M06,SG-03,SG-03:BUREAU_0_PREV_0,DISCRIMINATION_CALIBRATION,INSUFFICIENT_DATA,38,4.0,34.0
SIM-M06,SG-03,SG-03:BUREAU_0_PREV_0,THRESHOLD_ERROR_RATE,INSUFFICIENT_DATA,38,4.0,34.0
SIM-M06,SG-03,SG-03:BUREAU_0_PREV_1,DISCRIMINATION_CALIBRATION,INSUFFICIENT_DATA,994,123.0,871.0
SIM-M06,SG-03,SG-03:BUREAU_1_PREV_0,DISCRIMINATION_CALIBRATION,INSUFFICIENT_DATA,148,32.0,116.0
SIM-M06,SG-03,SG-03:BUREAU_1_PREV_0,THRESHOLD_ERROR_RATE,INSUFFICIENT_DATA,148,32.0,116.0
SIM-M06,SG-07,SG-07:0,DISCRIMINATION_CALIBRATION,INSUFFICIENT_DATA,958,120.0,838.0
SIM-M06,SG-08,SG-08:0,DISCRIMINATION_CALIBRATION,INSUFFICIENT_DATA,2,0.0,2.0
SIM-M06,SG-08,SG-08:0,THRESHOLD_ERROR_RATE,INSUFFICIENT_DATA,2,0.0,2.0
SIM-M06,SG-08,SG-08:1,DISCRIMINATION_CALIBRATION,INSUFFICIENT_DATA,632,84.0,548.0
SIM-M06,SG-09,SG-09:XNA,DISCRIMINATION_CALIBRATION,INSUFFICIENT_DATA,0,0.0,0.0
SIM-M06,SG-09,SG-09:XNA,THRESHOLD_ERROR_RATE,INSUFFICIENT_DATA,0,0.0,0.0
SIM-M06,SG-10,"SG-10:[60,+inf)",DISCRIMINATION_CALIBRATION,INSUFFICIENT_DATA,989,130.0,859.0
SIM-M06,SG-11,SG-11:1,DISCRIMINATION_CALIBRATION,INSUFFICIENT_DATA,981,141.0,840.0
SIM-M06,SG-12,SG-12:Revolving loans,DISCRIMINATION_CALIBRATION,INSUFFICIENT_DATA,62,8.0,54.0
SIM-M06,SG-12,SG-12:Revolving loans,THRESHOLD_ERROR_RATE,INSUFFICIENT_DATA,62,8.0,54.0
