feature,count_0,count_1,proportion_0,proportion_1
FLAG_EMP_PHONE,38766,176491,0.1800917043348184,0.8199082956651816
FLAG_WORK_PHONE,172406,42851,0.8009309801771836,0.19906901982281644
FLAG_CONT_MOBILE,402,214855,0.001867535085967007,0.998132464914033
FLAG_PHONE,154906,60351,0.7196328110119532,0.28036718898804686
FLAG_EMAIL,203006,12251,0.9430866359746721,0.056913364025327866
REG_REGION_NOT_LIVE_REGION,211999,3258,0.9848646037062674,0.015135396293732608
REG_REGION_NOT_WORK_REGION,204222,11035,0.948735697329239,0.051264302670761
LIVE_REGION_NOT_WORK_REGION,206386,8871,0.9587887966477281,0.041211203352271936
REG_CITY_NOT_LIVE_CITY,198549,16708,0.9223811536907046,0.0776188463092954
REG_CITY_NOT_WORK_CITY,165697,49560,0.7697635849240675,0.23023641507593248
LIVE_CITY_NOT_WORK_CITY,176518,38739,0.8200337271261794,0.1799662728738206
FLAG_DOCUMENT_3,62412,152845,0.2899417905108777,0.7100582094891223
FLAG_DOCUMENT_5,212025,3232,0.9849853895575986,0.015014610442401408
FLAG_DOCUMENT_6,196348,18909,0.9121561668145519,0.0878438331854481
FLAG_DOCUMENT_8,197689,17568,0.9183859293774419,0.08161407062255815
FLAG_DOCUMENT_9,214440,817,0.9962045369024004,0.0037954630975996135
FLAG_DOCUMENT_11,214448,809,0.996241701779733,0.003758298220266937
FLAG_DOCUMENT_13,214541,716,0.9966737434787254,0.0033262565212745696
FLAG_DOCUMENT_14,214614,643,0.9970128729843861,0.0029871270156138943
FLAG_DOCUMENT_16,213089,2168,0.9899283182428446,0.0100716817571554
FLAG_DOCUMENT_18,213525,1732,0.9919538040574755,0.008046195942524518
FLAG_DOCUMENT_20,215146,111,0.9994843373270091,0.00051566267299089
FLAG_DOCUMENT_21,215187,70,0.9996748073233391,0.0003251926766609216
HAS_BUREAU_HISTORY,30836,184421,0.14325201967880255,0.8567479803211975
HAS_PREV_APP_HISTORY,11456,203801,0.053220104340393114,0.9467798956596069
FLAG_DAYS_EMPLOYED_SENTINEL,176501,38756,0.8199547517618475,0.18004524823815254
OWN_CAR_AGE_IS_MISSING,73166,142091,0.33990067686532843,0.6600993231346716
HOUSING_AVG_NUMERIC_DATA_AVAILABLE_FLAG,104092,111165,0.48357080141412356,0.5164291985858764
BUREAU_REQUEST_DATA_AVAILABLE_FLAG,29081,186176,0.13509897471394658,0.8649010252860534
