control,status
PHASE14_BINDING,PASS
PHASE_0_14_IMMUTABILITY,PASS
SCHEDULED_VERIFY_FROZEN,PASS
CONCURRENCY_LOCK,PASS
EXIT_CODES_AND_RECEIPTS,PASS
NO_LIFECYCLE_MUTATION,PASS
SCHEDULER_TEMPLATES,PASS
PUBLIC_SAFE_CI,PASS
DOCUMENTATION_AND_ASSETS,PASS
HYGIENE_PATH_SECRET_DEPENDENCY,PASS
FULL_REGRESSION,PASS
RESIDUAL_LIMITATIONS,PASS
INVESTIGATION_CASEBOOK,PASS
DUAL_PHASE12_DIGEST_BINDING,PASS
CASEBOOK_PRIMARY_EVIDENCE_AUTHORITY,PASS
CASEBOOK_TEMPORAL_NAVIGATION,PASS
OWNER_APPROVAL,PASS
FINAL_TAG_AND_REMOTE_RELEASE_AUTHORIZED_POST_COMMIT,PASS
