feature,missing_count,missing_rate,classification
NAME_CONTRACT_TYPE,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
CODE_GENDER,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
FLAG_OWN_CAR,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
FLAG_OWN_REALTY,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
CNT_CHILDREN,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
AMT_INCOME_TOTAL,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
AMT_CREDIT,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
AMT_ANNUITY,8,3.7164877332676755e-05,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
AMT_GOODS_PRICE,187,0.0008687290076513191,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
NAME_TYPE_SUITE,901,0.00418569430959272,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
NAME_INCOME_TYPE,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
NAME_EDUCATION_TYPE,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
NAME_FAMILY_STATUS,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
NAME_HOUSING_TYPE,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
REGION_POPULATION_RELATIVE,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
DAYS_BIRTH,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
DAYS_REGISTRATION,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
DAYS_ID_PUBLISH,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
OWN_CAR_AGE,142091,0.6600993231346716,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
FLAG_EMP_PHONE,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
FLAG_WORK_PHONE,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
FLAG_CONT_MOBILE,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
FLAG_PHONE,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
FLAG_EMAIL,0,0.0,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
OCCUPATION_TYPE,67480,0.3134857403011284,FROZEN_REFERENCE_OBSERVED_MISSINGNESS_NOT_AUTOMATIC_CONTRACT_FAILURE
