Feature_Name,Raw_Source_Table,Feature_Source_Type,Dtype_Exact,Missing_Mask_Exact,Value_Exact,Result
NAME_CONTRACT_TYPE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
CODE_GENDER,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_OWN_CAR,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_OWN_REALTY,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
CNT_CHILDREN,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
AMT_INCOME_TOTAL,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
AMT_CREDIT,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
AMT_ANNUITY,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
AMT_GOODS_PRICE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
NAME_TYPE_SUITE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
NAME_INCOME_TYPE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
NAME_EDUCATION_TYPE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
NAME_FAMILY_STATUS,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
NAME_HOUSING_TYPE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
REGION_POPULATION_RELATIVE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
DAYS_BIRTH,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
DAYS_REGISTRATION,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
DAYS_ID_PUBLISH,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
OWN_CAR_AGE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_EMP_PHONE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_WORK_PHONE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_CONT_MOBILE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_PHONE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_EMAIL,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
OCCUPATION_TYPE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
CNT_FAM_MEMBERS,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
REGION_RATING_CLIENT,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
REGION_RATING_CLIENT_W_CITY,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
WEEKDAY_APPR_PROCESS_START,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
HOUR_APPR_PROCESS_START,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
REG_REGION_NOT_LIVE_REGION,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
REG_REGION_NOT_WORK_REGION,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
LIVE_REGION_NOT_WORK_REGION,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
REG_CITY_NOT_LIVE_CITY,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
REG_CITY_NOT_WORK_CITY,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
LIVE_CITY_NOT_WORK_CITY,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
ORGANIZATION_TYPE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
EXT_SOURCE_1,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
EXT_SOURCE_2,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
EXT_SOURCE_3,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
APARTMENTS_AVG,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
BASEMENTAREA_AVG,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
YEARS_BEGINEXPLUATATION_AVG,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
YEARS_BUILD_AVG,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
COMMONAREA_AVG,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
ELEVATORS_AVG,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
ENTRANCES_AVG,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLOORSMAX_AVG,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLOORSMIN_AVG,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
LANDAREA_AVG,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
LIVINGAPARTMENTS_AVG,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
LIVINGAREA_AVG,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
NONLIVINGAPARTMENTS_AVG,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
NONLIVINGAREA_AVG,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FONDKAPREMONT_MODE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
HOUSETYPE_MODE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
TOTALAREA_MODE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
WALLSMATERIAL_MODE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
EMERGENCYSTATE_MODE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
OBS_30_CNT_SOCIAL_CIRCLE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
DEF_30_CNT_SOCIAL_CIRCLE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
OBS_60_CNT_SOCIAL_CIRCLE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
DEF_60_CNT_SOCIAL_CIRCLE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
DAYS_LAST_PHONE_CHANGE,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_DOCUMENT_3,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_DOCUMENT_5,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_DOCUMENT_6,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_DOCUMENT_8,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_DOCUMENT_9,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_DOCUMENT_11,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_DOCUMENT_13,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_DOCUMENT_14,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_DOCUMENT_16,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_DOCUMENT_18,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_DOCUMENT_20,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
FLAG_DOCUMENT_21,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
AMT_REQ_CREDIT_BUREAU_HOUR,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
AMT_REQ_CREDIT_BUREAU_DAY,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
AMT_REQ_CREDIT_BUREAU_WEEK,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
AMT_REQ_CREDIT_BUREAU_MON,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
AMT_REQ_CREDIT_BUREAU_QRT,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
AMT_REQ_CREDIT_BUREAU_YEAR,application_train.csv,DIRECT_APPLICATION_FIELD,True,True,True,PASS
BUREAU_ACCOUNT_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_ACTIVE_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_CLOSED_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_SOLD_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_BAD_DEBT_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_CREDIT_SUM_TOTAL,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_CREDIT_SUM_MEAN,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_CREDIT_SUM_MAX,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_DEBT_TOTAL,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_DEBT_MEAN,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_DEBT_MAX,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_DEBT_REPORTED_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_POSITIVE_DEBT_TOTAL,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_POSITIVE_DEBT_MEAN,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_POSITIVE_DEBT_MAX,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_NEGATIVE_DEBT_ACCOUNT_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_OVERDUE_ACCOUNT_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_OVERDUE_DAYS_MAX,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_OVERDUE_AMOUNT_TOTAL,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_OVERDUE_AMOUNT_MAX,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_OLDEST_CREDIT_DAYS,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_MOST_RECENT_CREDIT_DAYS,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_AVG_CREDIT_DAYS,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_PROLONGATION_ACCOUNT_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_PROLONGATION_TOTAL,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_PROLONGATION_MAX,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_CREDIT_LIMIT_TOTAL,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_CREDIT_LIMIT_MAX,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_CREDIT_LIMIT_REPORTED_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_MAX_OVERDUE_AMOUNT_MAX,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_MAX_OVERDUE_AMOUNT_MEAN,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_MAX_OVERDUE_REPORTED_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_ANNUITY_AVAILABLE_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_ANNUITY_MEAN,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_ANNUITY_MAX,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_ENDDATE_AFTER_APPLICATION_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_ENDDATE_MEAN,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_ENDDATE_MIN,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_ENDDATE_MAX,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_FACT_ENDDATE_REPORTED_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_CONSUMER_CREDIT_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_CREDIT_CARD_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_CAR_LOAN_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_MORTGAGE_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_OTHER_CREDIT_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_UNIQUE_CREDIT_TYPE_COUNT,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_ACTIVE_RATIO,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_OVERDUE_RATIO,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_ANNUITY_MISSING_RATE,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_DEBT_MISSING_RATE,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
BUREAU_DEBT_TO_CREDIT_RATIO,bureau.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
HAS_BUREAU_HISTORY,bureau.csv,DETERMINISTIC_ENGINEERED,True,True,True,PASS
PREV_APPLICATION_COUNT,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_APPROVED_COUNT,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_REFUSED_COUNT,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_CANCELED_COUNT,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_UNUSED_COUNT,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_APPLICATION_TOTAL,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_APPLICATION_MEAN,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_APPLICATION_MAX,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_CREDIT_TOTAL,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_CREDIT_MEAN,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_CREDIT_MAX,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_APPROVED_APPLICATION_TOTAL,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_APPROVED_CREDIT_TOTAL,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
