feature,count,missing_count,missing_rate,finite_count,min,max,mean,sample_standard_deviation,quantiles
CNT_CHILDREN,215257,0,0.0,215257,0.0,19.0,0.4171571656206302,0.7196716491973697,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 1.0, ""0.90"": 2.0, ""0.95"": 2.0, ""0.99"": 3.0}"
AMT_INCOME_TOTAL,215257,0,0.0,215257,25650.0,117000000.0,169084.25800166777,274245.23376966437,"{""0.01"": 45000.0, ""0.05"": 67500.0, ""0.10"": 81000.0, ""0.25"": 112500.0, ""0.50"": 148500.0, ""0.75"": 202500.0, ""0.90"": 270000.0, ""0.95"": 337500.0, ""0.99"": 472500.0}"
AMT_CREDIT,215257,0,0.0,215257,45000.0,4050000.0,599416.427340342,402647.70820752566,"{""0.01"": 76410.0, ""0.05"": 135000.0, ""0.10"": 180000.0, ""0.25"": 270000.0, ""0.50"": 516397.5, ""0.75"": 808650.0, ""0.90"": 1133748.0, ""0.95"": 1350000.0, ""0.99"": 1853332.2000000027}"
AMT_ANNUITY,215257,8,3.7164877332676755e-05,215249,1615.5,258025.5,27116.96621587092,14549.964736550775,"{""0.01"": 6187.5, ""0.05"": 9000.0, ""0.10"": 11070.0, ""0.25"": 16524.0, ""0.50"": 24903.0, ""0.75"": 34587.0, ""0.90"": 45990.0, ""0.95"": 53325.0, ""0.99"": 70209.0}"
AMT_GOODS_PRICE,215257,187,0.0008687290076513191,215070,40500.0,4050000.0,538818.9670386385,369641.1328483677,"{""0.01"": 67500.0, ""0.05"": 135000.0, ""0.10"": 180000.0, ""0.25"": 238500.0, ""0.50"": 450000.0, ""0.75"": 679500.0, ""0.90"": 1098000.0, ""0.95"": 1305000.0, ""0.99"": 1800000.0}"
REGION_POPULATION_RELATIVE,215257,0,0.0,215257,0.00029,0.072508,0.02086038834974007,0.013829377284834687,"{""0.01"": 0.002134, ""0.05"": 0.00496, ""0.10"": 0.006629, ""0.25"": 0.010006, ""0.50"": 0.01885, ""0.75"": 0.028663, ""0.90"": 0.035792, ""0.95"": 0.04622, ""0.99"": 0.072508}"
DAYS_BIRTH,215257,0,0.0,215257,-25200.0,-7673.0,-16034.389395002254,4361.550096671676,"{""0.01"": -24405.0, ""0.05"": -23195.0, ""0.10"": -22176.0, ""0.25"": -19683.0, ""0.50"": -15745.0, ""0.75"": -12409.0, ""0.90"": -10283.0, ""0.95"": -9410.0, ""0.99"": -8263.0}"
DAYS_REGISTRATION,215257,0,0.0,215257,-24672.0,0.0,-4993.670333601231,3526.89829590602,"{""0.01"": -13907.44, ""0.05"": -11437.0, ""0.10"": -9946.0, ""0.25"": -7486.0, ""0.50"": -4512.0, ""0.75"": -2017.0, ""0.90"": -693.0, ""0.95"": -331.0, ""0.99"": -52.0}"
DAYS_ID_PUBLISH,215257,0,0.0,215257,-7197.0,0.0,-2996.018740389395,1508.2975378019728,"{""0.01"": -5446.0, ""0.05"": -4943.0, ""0.10"": -4723.0, ""0.25"": -4299.0, ""0.50"": -3260.0, ""0.75"": -1721.0, ""0.90"": -733.0, ""0.95"": -376.0, ""0.99"": -62.0}"
OWN_CAR_AGE,215257,142091,0.6600993231346716,73166,0.0,91.0,12.043093786731543,11.873712528431193,"{""0.01"": 0.0, ""0.05"": 1.0, ""0.10"": 2.0, ""0.25"": 5.0, ""0.50"": 9.0, ""0.75"": 15.0, ""0.90"": 22.0, ""0.95"": 29.0, ""0.99"": 64.0}"
CNT_FAM_MEMBERS,215257,1,4.645609666584594e-06,215256,1.0,20.0,2.1525671758278513,0.9088707525408771,"{""0.01"": 1.0, ""0.05"": 1.0, ""0.10"": 1.0, ""0.25"": 2.0, ""0.50"": 2.0, ""0.75"": 3.0, ""0.90"": 3.0, ""0.95"": 4.0, ""0.99"": 5.0}"
REGION_RATING_CLIENT,215257,0,0.0,215257,1.0,3.0,2.052537199719405,0.5092195343611607,"{""0.01"": 1.0, ""0.05"": 1.0, ""0.10"": 1.0, ""0.25"": 2.0, ""0.50"": 2.0, ""0.75"": 2.0, ""0.90"": 3.0, ""0.95"": 3.0, ""0.99"": 3.0}"
REGION_RATING_CLIENT_W_CITY,215257,0,0.0,215257,1.0,3.0,2.031557626465109,0.5030781464670281,"{""0.01"": 1.0, ""0.05"": 1.0, ""0.10"": 1.0, ""0.25"": 2.0, ""0.50"": 2.0, ""0.75"": 2.0, ""0.90"": 3.0, ""0.95"": 3.0, ""0.99"": 3.0}"
HOUR_APPR_PROCESS_START,215257,0,0.0,215257,0.0,23.0,12.061665822714243,3.2642743011100346,"{""0.01"": 4.0, ""0.05"": 7.0, ""0.10"": 8.0, ""0.25"": 10.0, ""0.50"": 12.0, ""0.75"": 14.0, ""0.90"": 16.0, ""0.95"": 17.0, ""0.99"": 19.0}"
EXT_SOURCE_1,215257,121373,0.563851582062372,93884,0.0145681324124455,0.9516239622079844,0.5015915921985942,0.21130039661497366,"{""0.01"": 0.08292054924844912, ""0.05"": 0.15753722147913596, ""0.10"": 0.21181018583217992, ""0.25"": 0.33338965851942176, ""0.50"": 0.5052886501830977, ""0.75"": 0.6746593416731956, ""0.90"": 0.786745555706061, ""0.95"": 0.8321435604213947, ""0.99"": 0.8902421219426215}"
EXT_SOURCE_2,215257,464,0.002155562885295252,214793,8.173616518884397e-08,0.8549996664047012,0.5143643960182919,0.19107087487106367,"{""0.01"": 0.029390391182814415, ""0.05"": 0.13300030802653096, ""0.10"": 0.21541924645032157, ""0.25"": 0.3919465632746873, ""0.50"": 0.5659130796679341, ""0.75"": 0.6636414967544301, ""0.90"": 0.7220985117164815, ""0.95"": 0.7478248777221419, ""0.99"": 0.7827928199705348}"
EXT_SOURCE_3,215257,42680,0.19827462056983047,172577,0.0005272652387098,0.8960095494948396,0.510853794329214,0.19479633782156125,"{""0.01"": 0.0638048444715178, ""0.05"": 0.1547436312725944, ""0.10"": 0.228883416700673, ""0.25"": 0.3706496323299817, ""0.50"": 0.5352762504724826, ""0.75"": 0.6690566947824041, ""0.90"": 0.7490217048463391, ""0.95"": 0.7862666146611379, ""0.99"": 0.8337869986815019}"
APARTMENTS_AVG,215257,109076,0.5067245199923812,106181,0.0,1.0,0.11743371883858694,0.10809599884434197,"{""0.01"": 0.0021, ""0.05"": 0.0082, ""0.10"": 0.0165, ""0.25"": 0.0577, ""0.50"": 0.0876, ""0.75"": 0.1485, ""0.90"": 0.2412, ""0.95"": 0.3268, ""0.99"": 0.5412}"
BASEMENTAREA_AVG,215257,125793,0.5843851767886759,89464,0.0,1.0,0.08855777072341947,0.0825319549375591,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0442, ""0.50"": 0.07635, ""0.75"": 0.1124, ""0.90"": 0.1689, ""0.95"": 0.2237, ""0.99"": 0.3855369999999995}"
YEARS_BEGINEXPLUATATION_AVG,215257,104910,0.4873709101213898,110347,0.0,1.0,0.9775808214088285,0.06058288484296291,"{""0.01"": 0.9483, ""0.05"": 0.9687, ""0.10"": 0.9722, ""0.25"": 0.9767, ""0.50"": 0.9816, ""0.75"": 0.9866, ""0.90"": 0.9911, ""0.95"": 0.9955, ""0.99"": 0.999}"
YEARS_BUILD_AVG,215257,143036,0.664489424269594,72221,0.0,1.0,0.7526656678805334,0.11312093126162595,"{""0.01"": 0.3472, ""0.05"": 0.5920000000000001, ""0.10"": 0.6328, ""0.25"": 0.6872, ""0.50"": 0.7552, ""0.75"": 0.8232, ""0.90"": 0.8776, ""0.95"": 0.9524, ""0.99"": 0.9864}"
COMMONAREA_AVG,215257,150300,0.6982351328876645,64957,0.0,1.0,0.04465952861123513,0.07559416263192478,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0009, ""0.25"": 0.0078, ""0.50"": 0.0212, ""0.75"": 0.0518, ""0.90"": 0.1057, ""0.95"": 0.1607, ""0.99"": 0.3706}"
ELEVATORS_AVG,215257,114570,0.5322474995005969,100687,0.0,1.0,0.0788517961603782,0.13451063226233154,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.12, ""0.90"": 0.24, ""0.95"": 0.36, ""0.99"": 0.6}"
ENTRANCES_AVG,215257,108270,0.502980158601114,106987,0.0,1.0,0.1498391197061325,0.10010201013304469,"{""0.01"": 0.0345, ""0.05"": 0.0345, ""0.10"": 0.0345, ""0.25"": 0.069, ""0.50"": 0.1379, ""0.75"": 0.2069, ""0.90"": 0.2759, ""0.95"": 0.3103, ""0.99"": 0.5172}"
FLOORSMAX_AVG,215257,106970,0.49694086603455406,108287,0.0,1.0,0.22617185165347642,0.14454974830636105,"{""0.01"": 0.0, ""0.05"": 0.0417, ""0.10"": 0.0417, ""0.25"": 0.1667, ""0.50"": 0.1667, ""0.75"": 0.3333, ""0.90"": 0.375, ""0.95"": 0.4792, ""0.99"": 0.6667}"
FLOORSMIN_AVG,215257,146054,0.6785098742433463,69203,0.0,1.0,0.23127554585783852,0.1610407774170049,"{""0.01"": 0.0, ""0.05"": 0.0417, ""0.10"": 0.0417, ""0.25"": 0.0833, ""0.50"": 0.2083, ""0.75"": 0.375, ""0.90"": 0.4167, ""0.95"": 0.5, ""0.99"": 0.7083}"
LANDAREA_AVG,215257,127644,0.592984200281524,87613,0.0,1.0,0.06639372125141246,0.08111528912367652,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0188, ""0.50"": 0.0483, ""0.75"": 0.0859, ""0.90"": 0.1407800000000003, ""0.95"": 0.1954, ""0.99"": 0.3731}"
LIVINGAPARTMENTS_AVG,215257,147049,0.683132255861598,68208,0.0,1.0,0.1006903720971147,0.09233101550682613,"{""0.01"": 0.0034, ""0.05"": 0.0101, ""0.10"": 0.0202, ""0.25"": 0.0504, ""0.50"": 0.0756, ""0.75"": 0.121, ""0.90"": 0.2051, ""0.95"": 0.2723, ""0.99"": 0.4522}"
